Ticker;Entree;Sortie;Raison;Prix_E;Prix_S;Pnl%;Mise_EUR;PnL_EUR;Capital_Avant;Capital_Apres;Cumul_PnL
NVDA;2017-12-01;2018-01-02;REBALANCE_ADJUST;4,886173635;4,93;0,84;157,18;1,32;785,9;2091,24;395,97
BBBY;2018-01-02;2018-02-01;REBALANCE_ADJUST;64,71465153;66,72;3,09;388,13;11,99;1940,67;1085,38;407,96
HAR;2018-01-02;2018-02-01;REBALANCE_ADJUST;8618,61;9269,26;7,55;310,51;23,44;1552,53;1419,33;431,4
MU;2018-01-02;2018-02-01;DROPPED_FROM_TOP;42,63337677;41,4;-2,9;248,41;-7,2;1242,03;1660,54;424,2
NRG;2018-01-02;2018-02-01;REBALANCE_ADJUST;23,80761447;21,8;-8,44;198,72;-16,77;993,62;1842,49;407,43
NVDA;2018-01-02;2018-02-01;DROPPED_FROM_TOP;4,927451272;5,93;20,4;158,98;32,43;794,9;2033,9;439,86
VRTX;2018-02-01;2018-03-01;DROPPED_FROM_TOP;173,1629955;165,66;-4,33;418,25;-18,11;2091,24;1066,61;416,99
NRG;2018-02-01;2018-03-01;DROPPED_FROM_TOP;21,79791063;22,16;1,65;334,6;5,52;1672,99;1406,72;399,69
HAR;2018-02-01;2018-03-01;REBALANCE_ADJUST;9269,26;10510,5;13,39;267,68;35,84;1338,39;1710,24;435,53
FSLR;2018-02-01;2018-03-01;REBALANCE_ADJUST;67,61755305;62,15;-8,08;214,14;-17,3;1070,71;1907,08;441,05
BBBY;2018-02-01;2018-03-01;REBALANCE_ADJUST;66,71665153;57,81;-13,35;171,31;-22,87;856,57;2055,53;422,94
BBBY;2018-03-01;2018-04-02;REBALANCE_ADJUST;57,80775;32,88;-43,12;406,78;-175,4;2033,9;904,93;247,54
FSLR;2018-03-01;2018-04-02;DROPPED_FROM_TOP;62,15209015;69,32;11,53;325,42;37,52;1627,12;1267,88;285,06
HAR;2018-03-01;2018-04-02;REBALANCE_ADJUST;10510,5;8808,8;-16,19;260,34;-42,15;1301,7;1486,07;242,91
NVDA;2018-03-01;2018-04-02;REBALANCE_ADJUST;5,743238646;5,47;-4,81;208,27;-10,02;1041,36;1684,32;232,89
PYPL;2018-03-01;2018-04-02;DROPPED_FROM_TOP;78,04275513;74,28;-4,82;166,62;-8,03;833,09;1842,91;224,86
BA;2018-04-02;2018-05-01;DROPPED_FROM_TOP;309,1086961;315,28;2;411,11;8,22;2055,53;1023,21;233,08
BBBY;2018-04-02;2018-05-01;REBALANCE_ADJUST;32,88284847;38,29;16,44;328,88;54,07;1644,42;1406,16;287,15
HAR;2018-04-02;2018-05-01;REBALANCE_ADJUST;8808,8;5755,75;-34,66;263,11;-91,19;1315,54;1578,08;195,96
NFLX;2018-04-02;2018-05-01;REBALANCE_ADJUST;28,05702833;31,36;11,78;210,49;24,8;1052,43;1813,36;220,76
NVDA;2018-04-02;2018-05-01;REBALANCE_ADJUST;5,46721894;5,62;2,76;168,39;4,65;841,94;1986,4;225,41
NVDA;2018-05-01;2018-06-01;REBALANCE_ADJUST;5,617843009;6,38;13,49;368,58;49,72;1842,91;1069,21;228,25
NFLX;2018-05-01;2018-06-01;REBALANCE_ADJUST;31,36132992;36,03;14,88;294,87;43,88;1474,33;1407,95;207,28
FSLR;2018-05-01;2018-06-01;REBALANCE_ADJUST;67,57751214;66;-2,34;235,89;-5,52;1179,46;1638,32;251,16
BBBY;2018-05-01;2018-06-01;REBALANCE_ADJUST;38,28825;34,03;-11,11;188,71;-20,97;943,57;1806,07;300,88
HAR;2018-05-01;2018-06-01;DROPPED_FROM_TOP;5755,75;5864,13;1,88;150,97;2,84;754,85;1959,88;295,36
BBBY;2018-06-01;2018-07-02;REBALANCE_ADJUST;34,034;33,98;-0,15;397,28;-0,6;1986,4;1199,45;294,76
FSLR;2018-06-01;2018-07-02;DROPPED_FROM_TOP;65,99593031;53;-19,7;317,82;-62,61;1589,12;1454,66;232,15
NFLX;2018-06-01;2018-07-02;REBALANCE_ADJUST;36,02899303;39,86;10,63;254,26;27,03;1271,29;1735,95;259,18
NRG;2018-06-01;2018-07-02;DROPPED_FROM_TOP;27,99362766;25,52;-8,85;203,41;-18;1017,04;1921,35;241,18
NVDA;2018-06-01;2018-07-02;DROPPED_FROM_TOP;6,375642936;5,98;-6,16;162,73;-10,02;813,63;2074,05;231,16
BBBY;2018-07-02;2018-08-01;REBALANCE_ADJUST;33,98395076;35,54;4,57;391,98;17,91;1959,88;1089,51;249,07
FOSL;2018-07-02;2018-08-01;REBALANCE_ADJUST;27,14712084;26,42;-2,69;313,58;-8,44;1567,9;1394,66;240,63
NFLX;2018-07-02;2018-08-01;REBALANCE_ADJUST;39,85781879;33,87;-15,02;250,86;-37,68;1254,32;1607,84;202,95
VLO;2018-07-02;2018-08-01;DROPPED_FROM_TOP;79,86149711;85,21;6,7;200,69;13,45;1003,46;1821,98;216,4
URBN;2018-08-01;2018-09-04;REBALANCE_ADJUST;43,73368863;48,31;10,46;414,81;43,39;2074,05;1055,23;228,7
NTAP;2018-08-01;2018-09-04;DROPPED_FROM_TOP;63,96199991;71,45;11,71;331,85;38,86;1659,24;1425,94;199,69
FOSL;2018-08-01;2018-09-04;REBALANCE_ADJUST;26,41638939;22,22;-15,88;265,48;-42,16;1327,4;1649,26;238,55
BBBY;2018-08-01;2018-09-04;REBALANCE_ADJUST;35,5355;30,68;-13,66;212,38;-29,01;1061,92;1832,63;281,94
NFLX;2018-08-01;2018-09-04;DROPPED_FROM_TOP;33,87183925;36,32;7,24;169,91;12,3;849,53;2014,84;239,78
BBBY;2018-09-04;2018-10-01;DROPPED_FROM_TOP;30,68064962;28,34;-7,62;364,4;-27,77;1821,98;1161,91;212,01
FOSL;2018-09-04;2018-10-01;REBALANCE_ADJUST;22,22220076;21,34;-3,96;291,52;-11,54;1457,59;1441,88;200,47
GWW;2018-09-04;2018-10-01;REBALANCE_ADJUST;321,9041937;322,02;0,04;233,21;0,09;1166,07;1675,19;200,56
THC;2018-09-04;2018-10-01;DROPPED_FROM_TOP;32,86283183;28,02;-14,73;186,57;-27,48;932,85;1834,27;173,08
URBN;2018-09-04;2018-10-01;REBALANCE_ADJUST;48,30825832;40,08;-17,03;149,26;-25,42;746,28;1958,11;147,66
FOSL;2018-10-01;2018-11-01;REBALANCE_ADJUST;21,34131969;23,24;8,91;402,97;35,9;2014,84;1080,51;183,56
GWW;2018-10-01;2018-11-01;REBALANCE_ADJUST;322,0218344;259,17;-19,52;322,37;-62,93;1611,87;1339,95;120,63
NFLX;2018-10-01;2018-11-01;REBALANCE_ADJUST;38,18114456;31,77;-16,79;257,9;-43,3;1289,49;1554,55;77,33
URBN;2018-10-01;2018-11-01;DROPPED_FROM_TOP;40,08004092;40,03;-0,13;206,32;-0,27;1031,6;1760,6;77,06
FOSL;2018-11-01;2018-12-03;REBALANCE_ADJUST;23,24321931;20,71;-10,9;391,62;-42,69;1958,11;1070,08;38,84
NTAP;2018-11-01;2018-12-03;DROPPED_FROM_TOP;65,03069449;57,1;-12,2;313,3;-38,22;1566,49;1345,15;56,47
NFLX;2018-11-01;2018-12-03;DROPPED_FROM_TOP;31,76973887;29;-8,72;250,64;-21,86;1253,19;1573,94;68,9
AMZN;2018-11-01;2018-12-03;DROPPED_FROM_TOP;83,35977338;88,53;6,2;200,51;12,43;1002,55;1786,88;26,21
GWW;2018-11-01;2018-12-03;DROPPED_FROM_TOP;259,173282;287,66;10,99;160,41;17,63;802,04;1964,92;4,35
